INFRA_ID,NAME,LINK,AI_TYPE,ORGANIZATION_MATURITY,PARENT_ORGANIZATION,TASKS,INFERENCE_LOCATION,MODEL_PRIVATE_OR_PUBLIC,POTENTIAL_FOR_IP,REASON_FOR_IP,DESCRIPTION,SOFTWARE_TYPE,EXPECTED_INPUT,GENERATED_OUTPUT,EULA_LINK,FOUNDATIONAL_MODEL,BUSINESS_MODEL,LEGAL_CASE_PENDING,HAS_API,YEAR_COMPANY_FOUNDED,YEAR_LAUNCHED,FUNDING,FUNDING_DEF
066e3ce5-14e5-4b99-bc61-90743618c527,Amazon Nova,https://aws.amazon.com/ai/generative-ai/nova/,GenAI and ML,Mature,"Amazon.com, Inc. (Amazon Nova)","Create Visual Style, Shoot, Previsualize Production, Create Visual Effects",Cloud,Private,TBD,Generates new content like dialogue or scenes using generative models.,Internal generative AI platform for content creation and enhancement.,Cloud Software,"Audio, Image, Text, Video","Image, Text, Video",https://docs.aws.amazon.com/nova/latest/userguide/responsible-use.html,Multimodal,Subscription/License (B2B),YES,NO,1994,2024,Public,"Companies that list their shares on a public stock exchange, allowing anyone to invest and trade shares. This category reflects organizations that have completed an IPO or are otherwise publicly traded."
0b5c9b48-a927-40a3-b770-3755fc1f85f6,Cinelytic,https://www.cinelytic.com/,GenAI and ML,Startup,Cinelytic,Development,Cloud,Private,TBD,Predictive analytics and project management do not generate user-owned outputs.,"An AI-driven platform for film and TV project management, providing predictive analytics and insights.",Cloud Software,Text,Text,https://sublytics.zendesk.com/hc/en-us/articles/360015867452-Terms-of-Use-,Proprietary,Subscription (B2B),NO,NO,2015,2015,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
4bba0a61-3008-48de-a6e3-8ab4b678d74b,Storyfit,https://storyfit.com/,GenAI,Startup,StoryFit Inc.,"Write Script, Development",Cloud,Private,TBD,"Outputs are AI-driven narrative insights, not new user-created IP.",AI-driven analytics platform that evaluates narratives for storytelling quality and market trends.,Cloud Software,"Image, Text",Text,https://storyfit.com/terms-of-use/,Proprietary,Subscription/License (B2B),NO,NO,2018,2018,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
318232a3-43d9-4635-bda0-51f6507f3a4e,Flawless,https://www.flawlessai.com/,GenAI,Startup,Flawless Holdings Limited,"Create Sound, Create Music, Mix Audio, Create Visual Effects",Cloud,Private,TBD,"AI-driven dubbing and lip-syncing may involve proprietary algorithms, leading to unclear IP ownership.",A video editing tool specializing in AI-driven lip synchronization and dubbing for seamless localization.,Cloud Software,"Text, Video",Video,https://flawless.is/legal/terms,Proprietary,Subscription/License (B2B),NO,YES,2003,2020,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
9c936061-9f89-42ed-b131-7551f69fe8a6,Autopod,https://www.autopod.fm/,ML,Startup,Autopod,Edit,Cloud,Private,TBD,Automatically edits podcasts and video content into unique episodes.,AI tool that automates video and podcast editing for multi-camera content.,Cloud Software,"Audio, Video","Audio, Video",https://www.autopod.fm/privacy-policy,Proprietary,Subscription,NO,NO,2007,2020,Self,"Companies financed primarily by the foundersâ€™ own money or by reinvesting profits, without outside investors. Often called bootstrapping, this approach allows complete control and avoids dilution of ownership."
00a24d02-e843-4e09-89ea-ff30e40aed8c,Red Giant,https://www.maxon.net/en/red-giant,ML,Mature,Maxon,Create Visual Effects,Local,Private,LOW,Visual effects and motion graphics are created by users and fully owned.,A collection of tools for creating motion graphics and cinematic visual effects.,Desktop Software,"3D, Image, Video",Video,https://www.maxon.net/en/red-giant,Proprietary,Subscription,NO,NO,1961,2002,Public,"Companies that list their shares on a public stock exchange, allowing anyone to invest and trade shares. This category reflects organizations that have completed an IPO or are otherwise publicly traded."
eb31d271-9044-4e83-8c75-363137a2c50c,Electric Sheep,https://electricsheep.tv/,GenAI and ML,Startup,Electric Sheep,Create Visual Effects,Cloud,Private,TBD,"Fractal visuals are crowdsourced, with shared ownership depending on contributions.",A crowdsourced tool for generating fractal animations and visuals through distributed computing.,Desktop Software,Image,Video,https://electricsheep.org/license/,Proprietary,License,NO,NO,2005,1999,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
ab29ce66-36f9-4ad8-9187-84a08ae10404,Eleven Labs,https://elevenlabs.io/,GenAI,Startup,Eleven Labs,"Create Sound, Create Music, Mix Audio",Cloud,Private,TBD,Custom voiceovers created by users are fully owned.,An advanced text-to-speech platform for creating lifelike AI-generated voices.,Cloud Software,"Audio, Text",Audio,https://elevenlabs.io/terms-of-use,Proprietary,Subscription (Freemium),YES,YES,2022,2022,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
db61e325-32e5-4efd-8762-63f8e676cdf3,Luma AI,https://www.luma.ai/,GenAI,Startup,Luma Labs,"Create Visual Style, Shoot, Previsualize Production, Create Visual Effects",Cloud,Private,TBD,Captured 3D environments are user-defined and fully owned.,A tool for capturing and rendering 3D environments from real-world settings using AI.,Cloud Software,"Image, Text",3D,https://lumalabs.ai/learning-hub/terms-of-use,Multimodal,Subscription,NO,YES,2021,2021,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
0bbfc97c-e4ae-4d97-8efa-04a7ad94c996,Draw3D,https://draw3d.online/,GenAI,Startup,Draw3D,"Create Visual Style, Shoot, Previsualize Production, Create Visual Effects",Cloud,Private,TBD,Transforms sketches into original 3D shapes and visual content.,Transforms 2D sketches into 3D models using generative AI.,Cloud Software,Image,Image,https://draw3d.online/terms-and-conditions,Proprietary,Subscription (Freemium),NO,NO,2023,2023,Self,"Companies financed primarily by the foundersâ€™ own money or by reinvesting profits, without outside investors. Often called bootstrapping, this approach allows complete control and avoids dilution of ownership."
4bc74d4b-b392-4a10-ad64-8344a9891b78,LensGo,https://lensgo.ai/,GenAI,Startup,Lensgo,"Create Visual Style, Previsualize Production, Create Visual Effects",Cloud,Private,TBD,"AI-enhanced photo edits may involve proprietary algorithms, leading to unclear ownership.",A tool designed for photo enhancement and editing with AI-driven features.,Cloud Software,"Image, Text","Image, Video",https://lenses.io/legals/eula/,Proprietary,Subscription (Freemium),NO,NO,2011,2021,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
c40f586d-8fcb-4ebb-819e-36996d3b5e10,Plot Factory,https://plotfactory.com/,GenAI,Startup,PlotFactory,"Writing, Write Script",Cloud,Private,TBD,Allows writers to create and own original story drafts and plotlines.,"Online platform for writers to draft, plot, and manage stories.",Cloud Software,Text,Text,https://www.plotfactory.com/terms,LLM,Subscription (Freemium),NO,NO,1997,2018,Self,"Companies financed primarily by the foundersâ€™ own money or by reinvesting profits, without outside investors. Often called bootstrapping, this approach allows complete control and avoids dilution of ownership."
3f6b6152-d82c-4440-b557-ca6b8692f070,DreamStudio,https://beta.dreamstudio.ai/generate,GenAI,Mid,Stability AI,"Edit, Previsualize Production",Cloud,Open Source,TBD,Generates unique images and artwork from user prompts via Stable Diffusion.,Official front-end for Stable Diffusion to generate images from prompts.,Cloud Software,Text,Image,https://dreamstudio.ai/legal,Diffusion,Subscription (Freemium),YES,YES,2020,2022,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
e6395b97-cb76-4cae-995d-1719c223df45,MiniMax Image,https://minimax-ai.org/,GenAI,Startup,MiniMax,Develop Creative Style,Cloud,Private,TBD,Maintains likeness from input; photorealistic reference outputs,Generates multiple images of the same subject in various scenes using a reference image,Cloud Software,"Image, Text",Image,https://hailuoai.video/doc/privacy-policy.html,Proprietary,Subscription (Freemium),YES,NO,1902,2024,Self,"Companies financed primarily by the foundersâ€™ own money or by reinvesting profits, without outside investors. Often called bootstrapping, this approach allows complete control and avoids dilution of ownership."
c49d488a-1148-4bd2-8754-99bd273169ef,Filmora,https://filmora.wondershare.net/,GenAI,Mature,"Wondershare Technology Group Co., Ltd.",Edit,Local,Private,TBD,Enables creation of original edited video content with AI tools.,Video editing software with AI features like auto-cut and audio cleanup.,Desktop & Cloud,"Audio, Image, Text, Video","Audio, Video",https://www.wondershare.com/company/end-user-license-agreement.html,Proprietary,Subscription/License,NO,NO,2003,2015,Public,"Companies that list their shares on a public stock exchange, allowing anyone to invest and trade shares. This category reflects organizations that have completed an IPO or are otherwise publicly traded."
a4278d37-b85c-439e-a96c-331fbe39cd05,Adobe Photoshop,https://www.adobe.com/,GenAI and ML,Mature,Adobe,"Create Visual Style, Previsualize Production, Create Visual Effects",Local,Private,TBD,Images and designs created are fully owned by the user.,"Industry-standard software for photo editing, graphic design, and digital art creation.",Desktop Software,"Image, Text",Image,https://www.adobe.com/support/downloads/license.html,Proprietary,Subscription,YES,YES,1982,1990,Public,"Companies that list their shares on a public stock exchange, allowing anyone to invest and trade shares. This category reflects organizations that have completed an IPO or are otherwise publicly traded."
72056557-d50b-4425-9989-b4a19cbd8780,DaVinci Resolve,https://www.blackmagicdesign.com/ca,ML,Mature,Black Magic,"Edit, Finish, Create Visual Effects, Mix Sound, Create Titles, Previsualize Production",Local,Private,LOW,Edited videos are user-created and fully owned.,A professional video editing and color correction software with advanced audio post-production tools.,Desktop Software,"Audio, Image, Video",Video,https://www.blackmagicdesign.com/privacy/,Proprietary,Free/License,NO,YES,2001,2004,Public,"Companies that list their shares on a public stock exchange, allowing anyone to invest and trade shares. This category reflects organizations that have completed an IPO or are otherwise publicly traded."
50441549-73a0-4766-b011-78a30a65ed9e,Google Gemini,https://gemini.google.com/app,GenAI,Mature,Google,"Write script, Create Production Reports, Breakdown Production",Cloud,Private,TBD,,"GoogleÃ¢â‚¬â„¢s advanced multimodal AI assistant and LLM. Powers text, code, image, audio, and video generation. Integrates deeply with Workspace apps and acts as a Ã¢â‚¬Å“research assistant",Cloud Software,"Image, Text","Image, Text",https://ai.google.dev/gemini-api/terms-archive/terms_03_20_24,Multimodal,Subscription,YES,YES,1998,2024,Public,"Companies that list their shares on a public stock exchange, allowing anyone to invest and trade shares. This category reflects organizations that have completed an IPO or are otherwise publicly traded."
541e404e-7990-4dd8-aaae-69160baaaaf8,Claude,https://claude.ai/new,GenAI and ML,Mid,Anthropic,All Functional Types,Cloud,Private,HIGH,"Produces original text-based outputs like drafts, scripts, or plans.","Conversational AI by Anthropic that helps generate, edit, and analyze text.",Cloud Software,Text,Text,https://www.anthropic.com/legal/terms,LLM,Subscription,YES,YES,2021,2023,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
464b18fe-84df-4300-9355-ae5326d0f627,Freepik,https://www.freepik.com/,GenAI,Startup,Freepik Company S.L.,"Create Visual Style, Previsualize Production, Create Visual Effects",Cloud,Private,TBD,"Most resources are pre-licensed content, not created by the user.",A platform offering a vast collection of free and premium graphic resources for creative projects.,Cloud Software,"Image, Text",Image,https://www.freepik.com/terms_of_use,Diffusion,Subscription (Freemium),NO,YES,2010,2010,Alternative,"Non-traditional financing sources beyond typical venture capital or personal funds. Includes private equity, grants, crowdfunding, debt financing, and convertible notes. Often used to supplement or replace early venture funding."
43de1069-1f87-4837-a22d-e2c9d55331eb,Luma Genie,https://lumalabs.ai/genie,GenAI,Startup,Luma Labs,Develop Creative Style,Cloud,Private,TBD,Mixed data sources with NeRF-based enhancement,Creative 3D tool generating NeRF-refined assets from text,Cloud Software,Text,3D,https://lumalabs.ai/terms,Diffusion,Subscription,YES,YES,2021,2024,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
76106c57-2af5-4b36-a42c-4a7f93aa4838,Autodesk Maya,https://www.autodesk.com/,ML,Mature,Autodesk,"Create Visual Style, Previsualize Production, Create Visual Effects, Build Sets",Local,Private,LOW,"3D assets and animations are user-generated, granting full ownership.","A 3D modeling, animation, and rendering software widely used in film, TV, and game development.",Desktop Software,"3D, Text","3D, Image, Video",https://www.autodesk.com/company/terms-of-use/en/general-terms,Proprietary,Subscription,YES,YES,1982,1998,Public,"Companies that list their shares on a public stock exchange, allowing anyone to invest and trade shares. This category reflects organizations that have completed an IPO or are otherwise publicly traded."
bcb4763d-fd8a-4ace-b107-67840e0e29cc,RivetAI,https://www.rivetai.com/,GenAI,Startup,RivetAI Inc.,"Breakdown Production, Write Script, Budgeting, Scheduling",Cloud,Private,TBD,"AI-generated scripts and content may involve proprietary models, leading to unclear IP ownership.","AI software for automating content creation workflows, including script generation and editing.",Cloud Software,Text,Text,https://www.rehabai.ai/legal/terms-conditions,LLM,Subscription (B2B),YES,NO,2018,2021,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
5596da92-4956-47bb-9172-2a24494e0650,fylm.ai,https://fylm.ai/,GenAI,Startup,G.T. Colord LTD,"Create Visual Effects, Previsualize Production, Finish, Create Visual Style",Cloud,Private,TBD,Color grading outputs are user-defined and fully owned.,AI-based software for film color grading and enhancing visual aesthetics during post-production.,Cloud Software,"Text, Video",Video,https://www.fylm.ai/terms-of-service,Proprietary,Subscription,NO,YES,2020,2022,Self,"Companies financed primarily by the foundersâ€™ own money or by reinvesting profits, without outside investors. Often called bootstrapping, this approach allows complete control and avoids dilution of ownership."
19c6a652-a501-4c2b-9ef6-cd36ddabefd5,Aiva,https://www.aiva.ai/,GenAI,Mid,Aiva,"Create Sound, Create Music, Mix Audio",Cloud,Private,TBD,Composes original music using AI-based musical intelligence.,AI music composition tool for generating original scores and tracks.,Cloud Software,Text,Audio,https://useaiva.com/terms,Proprietary,Subscription (Freemium),NO,YES,2017,2016,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
d558c042-c838-4bd1-b31c-530777e8793e,MagiScan,https://magiscan.app/,GenAI,Startup,MagiScan,"Create Visual Style, Shoot, Previsualize Production, Create Visual Effects",Cloud,Private,TBD,"Generates 3D assets and models from real-world scans, creating new content.",App that converts real-world objects into high-quality 3D models.,Cloud Software,Image,3D,https://magiscan.app/terms-of-use,Proprietary,Subscription (Freemium),NO,NO,2015,2023,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
fb6abc90-50b2-410a-b43c-918ead84825e,FLUX,https://blackforestlabs.ai/,GenAI,Startup,Black Forest Labs,Develop Creative Style,Cloud,Hybrid,TBD,"Strong fidelity, text accuracy, image editing pipelines","Flow-based diffusion; handles text in images, fast generation & ultra mode (4MP)",Cloud Software,"Image, Text",Image,https://bfl.ai/legal/developer-terms-of-service,Diffusion,Free/License,NO,YES,2024,2024,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
093ee891-49af-4c6f-a4f9-504a38fc9291,Autodesk Arnold,https://www.autodesk.com/,ML,Mature,Autodesk,"Create Visual Style, Previsualize Production, Create Visual Effects, Build Sets",Hybrid,Private,LOW,High-quality renders are fully owned by the creator.,"A rendering engine for creating high-quality images, popular in visual effects and films.",Cloud Software,"3D, Image","3D, Image, Video",https://www.autodesk.com/company/terms-of-use/en/general-terms,Proprietary,Subscription/License,YES,YES,1982,1998,Public,"Companies that list their shares on a public stock exchange, allowing anyone to invest and trade shares. This category reflects organizations that have completed an IPO or are otherwise publicly traded."
3ff86a2c-adb5-419d-8932-ede1db2e6d29,Resleeve,https://resleeve.ai/,GenAI,Startup,Resleeve.ai,"Design, Create Visual Style, Costume Design",Cloud,Private,TBD,Designs new fashion looks and collections with AI-generated visuals.,AI platform for fashion designers to generate new clothing styles and looks.,Cloud Software,"Image, Text",Image,https://resleeve.ai/terms-of-use,Proprietary,Subscription (Freemium),YES,NO,2021,2023,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
e59ba01f-142c-498a-ab21-702317158098,Meshy,https://www.meshy.ai/discover,GenAI,Startup,Meshy.AI,"Create Visual Style, Shoot, Previsualize Production, Create Visual Effects",Cloud,Private,TBD,Converts text or images into original 3D assets.,AI tool for generating and editing 3D assets from text or visuals.,Cloud Software,"Image, Text",3D,https://www.meshy.ai/terms-of-use,Diffusion,Subscription (Freemium),YES,YES,2021,2024,Self,"Companies financed primarily by the foundersâ€™ own money or by reinvesting profits, without outside investors. Often called bootstrapping, this approach allows complete control and avoids dilution of ownership."
f6491589-fa26-45d7-9cda-ee0a68524e36,Krock,https://krock.io/storyboard-ai/,GenAI,Startup,Krock,"Edit, Previsualize Production",Cloud,Private,TBD,Facilitates original storyboarding and animatics creation.,Collaborative platform for storyboarding and creative review workflows.,Cloud Software,Text,"Image, Text",https://krock.io/terms-of-service/,Proprietary,Subscription (Freemium),NO,YES,2012,2024,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
5cb0a2a5-9478-4921-8550-d207c7983094,Blackmagic Fusion,https://www.blackmagicdesign.com/ca,ML,Mature,Black Magic,"Finish, Create Visual Effects, Create Titles, Previsualize Production",Local,Private,LOW,"Composited visuals and effects are user-created, granting full ownership.","A node-based VFX compositing and motion graphics tool for films, TV shows, and commercials.",Desktop Software,"Image, Video",Video,https://www.blackmagicdesign.com/privacy/,Proprietary,Free/License,NO,YES,2001,1996,Alternative,"Non-traditional financing sources beyond typical venture capital or personal funds. Includes private equity, grants, crowdfunding, debt financing, and convertible notes. Often used to supplement or replace early venture funding."
f8308ce4-843a-4416-9818-8a92a2558ac8,Krikey,https://www.krikey.ai/,GenAI,Mid,"Krikey, Inc.","Create Visual Style, Shoot, Previsualize Production, Create Visual Effects",Cloud,Private,TBD,Enables creation of interactive AR/3D experiences from scratch.,Platform for creating interactive AR and 3D content with AI.,Cloud Software,"Text, Video","3D, Video",https://www.krikey.ai/terms-of-use,Proprietary,Subscription (Freemium),NO,NO,2017,2017,Seed,"The earliest stage of external funding that supports product development, market research, and initial growth. This includes Angel funding, Pre-Seed, Series A/B/C rounds, and early-stage venture capital."
10921819-913e-41b1-a535-59678098681b,Avid Pro Tools,https://www.avid.com/,ML,Mature,Avid,"Create Sound, Create Music, Mix Audio",Local,Private,LOW,Audio tracks and compositions are fully user-created and owned.,"Industry-standard software for audio recording, editing, and mixing, used in music and film production.",Desktop Software,"Audio, Video",Audio,https://www.avid.com/legal/eula,Proprietary,Subscription,YES,YES,1980,1991,Alternative,"Non-traditional financing sources beyond typical venture capital or personal funds. Includes private equity, grants, crowdfunding, debt financing, and convertible notes. Often used to supplement or replace early venture funding."
